Estacao;Data;Hora;Precipitacao;TempMaxima;TempMinima;Insolacao;Evaporacao Piche;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
82294;09/10/1961;0000;;32.1;;;;;;3.333333;
82294;09/10/1961;1200;0;;20.7;;;;;;
82294;10/10/1961;0000;;31.7;;;;;;3.333333;
82294;10/10/1961;1200;0;;20.9;;;;;;
82294;11/10/1961;0000;;31.9;;;;;;2.666667;
82294;11/10/1961;1200;0;;20.9;;;;;;
82294;12/10/1961;0000;;31.7;;;;;;4;
82294;12/10/1961;1200;0;;20.1;;;;;;
82294;13/10/1961;0000;;32.3;;;;;;3.333333;
82294;13/10/1961;1200;0;;20.9;;;;;;
82294;14/10/1961;0000;;32.3;;;;;;4;
82294;14/10/1961;1200;0;;20.3;;;;;;
82294;15/10/1961;0000;;32.5;;;;;;3.333333;
82294;15/10/1961;1200;0;;21.1;;;;;;
82294;16/10/1961;0000;;34.9;;;;;;2.666667;
82294;16/10/1961;1200;0;;20.3;;;;;;
82294;17/10/1961;0000;;31.3;;;;;;1.666667;
82294;17/10/1961;1200;0;;21.1;;;;;;
82294;18/10/1961;0000;;32.5;;;;;;2.666667;
82294;18/10/1961;1200;0;;20.7;;;;;;
82294;19/10/1961;0000;;31.7;;;;;;4;
82294;19/10/1961;1200;0;;21.9;;;;;;
82294;20/10/1961;0000;;32.1;;;;;;3.333333;
82294;20/10/1961;1200;0;;21.1;;;;;;
82294;21/10/1961;0000;;32.3;;;;;;2.666667;
82294;21/10/1961;1200;0;;22.1;;;;;;
82294;22/10/1961;0000;;32.3;;;;;;1.333333;
82294;22/10/1961;1200;0;;22.7;;;;;;
82294;23/10/1961;0000;;32.3;;;;;;2.666667;
82294;23/10/1961;1200;0;;20.1;;;;;;
82294;24/10/1961;0000;;31.9;;;;;;3.333333;
82294;24/10/1961;1200;0;;20.1;;;;;;
82294;25/10/1961;0000;;31.9;;;;;;1.333333;
82294;25/10/1961;1200;0;;21.5;;;;;;
82294;26/10/1961;0000;;31.9;;;;;;2.666667;
82294;26/10/1961;1200;0;;20.9;;;;;;
82294;27/10/1961;0000;;33.5;;;;;;3.333333;
82294;27/10/1961;1200;0;;21.1;;;;;;
82294;28/10/1961;0000;;32.9;;;;;;4.666667;
82294;28/10/1961;1200;0;;20.5;;;;;;
82294;29/10/1961;0000;;32.3;;;;;;2;
82294;29/10/1961;1200;0;;20.1;;;;;;
82294;30/10/1961;0000;;31.5;;;;;;2.666667;
82294;30/10/1961;1200;0;;22.5;;;;;;
82294;31/10/1961;0000;;31.9;;;;;;2;
82294;31/10/1961;1200;0;;22.5;;;;;;
